timestamp,ecg,reconstructed_time
2025-11-07 01:34:10.204253,-66,2025-11-07 01:34:10.204253000
2025-11-07 01:34:10.204253,-12289,2025-11-07 01:34:10.211945308
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.219637615
2025-11-07 01:34:10.204253,-49,2025-11-07 01:34:10.227329923
2025-11-07 01:34:10.204253,-13057,2025-11-07 01:34:10.235022231
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.242714538
2025-11-07 01:34:10.204253,-42,2025-11-07 01:34:10.250406846
2025-11-07 01:34:10.204253,-9985,2025-11-07 01:34:10.258099154
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.265791462
2025-11-07 01:34:10.204253,-38,2025-11-07 01:34:10.273483769
2025-11-07 01:34:10.204253,-7425,2025-11-07 01:34:10.281176077
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.288868385
2025-11-07 01:34:10.204253,-28,2025-11-07 01:34:10.296560692
2025-11-07 01:34:10.204253,-6913,2025-11-07 01:34:10.304253000
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.311945308
2025-11-07 01:34:10.204253,-26,2025-11-07 01:34:10.319637615
2025-11-07 01:34:10.204253,-5121,2025-11-07 01:34:10.327329923
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.335022231
2025-11-07 01:34:10.204253,-21,2025-11-07 01:34:10.342714538
2025-11-07 01:34:10.204253,-4609,2025-11-07 01:34:10.350406846
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.358099154
2025-11-07 01:34:10.204253,-14,2025-11-07 01:34:10.365791462
2025-11-07 01:34:10.204253,-2561,2025-11-07 01:34:10.373483769
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.381176077
2025-11-07 01:34:10.204253,-7,2025-11-07 01:34:10.388868385
2025-11-07 01:34:10.204253,-769,2025-11-07 01:34:10.396560692
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.404253000
2025-11-07 01:34:10.204253,-4,2025-11-07 01:34:10.411945308
2025-11-07 01:34:10.204253,-1537,2025-11-07 01:34:10.419637615
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.427329923
2025-11-07 01:34:10.204253,-9,2025-11-07 01:34:10.435022231
2025-11-07 01:34:10.204253,-2561,2025-11-07 01:34:10.442714538
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.450406846
2025-11-07 01:34:10.204253,-14,2025-11-07 01:34:10.458099154
2025-11-07 01:34:10.204253,-4609,2025-11-07 01:34:10.465791462
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.473483769
2025-11-07 01:34:10.204253,-26,2025-11-07 01:34:10.481176077
2025-11-07 01:34:10.204253,-9473,2025-11-07 01:34:10.488868385
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.496560692
2025-11-07 01:34:10.204253,-49,2025-11-07 01:34:10.504253000
2025-11-07 01:34:10.204253,-14849,2025-11-07 01:34:10.511945308
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.519637615
2025-11-07 01:34:10.204253,-73,2025-11-07 01:34:10.527329923
2025-11-07 01:34:10.204253,-22017,2025-11-07 01:34:10.535022231
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.542714538
2025-11-07 01:34:10.204253,-99,2025-11-07 01:34:10.550406846
2025-11-07 01:34:10.204253,-26369,2025-11-07 01:34:10.558099154
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.565791462
2025-11-07 01:34:10.204253,-109,2025-11-07 01:34:10.573483769
2025-11-07 01:34:10.204253,-28161,2025-11-07 01:34:10.581176077
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.588868385
2025-11-07 01:34:10.204253,-114,2025-11-07 01:34:10.596560692
2025-11-07 01:34:10.204253,-28929,2025-11-07 01:34:10.604253000
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.611945308
2025-11-07 01:34:10.204253,-111,2025-11-07 01:34:10.619637615
2025-11-07 01:34:10.204253,-26881,2025-11-07 01:34:10.627329923
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.635022231
2025-11-07 01:34:10.204253,-104,2025-11-07 01:34:10.642714538
2025-11-07 01:34:10.204253,-25089,2025-11-07 01:34:10.650406846
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.658099154
2025-11-07 01:34:10.204253,-92,2025-11-07 01:34:10.665791462
2025-11-07 01:34:10.204253,-22785,2025-11-07 01:34:10.673483769
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.681176077
2025-11-07 01:34:10.204253,-90,2025-11-07 01:34:10.688868385
2025-11-07 01:34:10.204253,-22017,2025-11-07 01:34:10.696560692
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.704253000
2025-11-07 01:34:10.204253,-83,2025-11-07 01:34:10.711945308
2025-11-07 01:34:10.204253,-19713,2025-11-07 01:34:10.719637615
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.727329923
2025-11-07 01:34:10.204253,-76,2025-11-07 01:34:10.735022230
2025-11-07 01:34:10.204253,-19713,2025-11-07 01:34:10.742714538
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.750406846
2025-11-07 01:34:10.204253,-76,2025-11-07 01:34:10.758099154
2025-11-07 01:34:10.204253,-19201,2025-11-07 01:34:10.765791462
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.773483769
2025-11-07 01:34:10.204253,-73,2025-11-07 01:34:10.781176077
2025-11-07 01:34:10.204253,-18433,2025-11-07 01:34:10.788868385
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.796560692
2025-11-07 01:34:10.204253,-76,2025-11-07 01:34:10.804253000
2025-11-07 01:34:10.204253,-19201,2025-11-07 01:34:10.811945308
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.819637615
2025-11-07 01:34:10.204253,-78,2025-11-07 01:34:10.827329923
2025-11-07 01:34:10.204253,-20225,2025-11-07 01:34:10.835022231
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.842714538
2025-11-07 01:34:10.204253,-78,2025-11-07 01:34:10.850406846
2025-11-07 01:34:10.204253,-19713,2025-11-07 01:34:10.858099154
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.865791462
2025-11-07 01:34:10.204253,-78,2025-11-07 01:34:10.873483769
2025-11-07 01:34:10.204253,-20225,2025-11-07 01:34:10.881176077
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.888868385
2025-11-07 01:34:10.204253,-80,2025-11-07 01:34:10.896560692
2025-11-07 01:34:10.204253,-20225,2025-11-07 01:34:10.904253000
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.911945308
2025-11-07 01:34:10.204253,-80,2025-11-07 01:34:10.919637615
2025-11-07 01:34:10.204253,-20225,2025-11-07 01:34:10.927329923
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.935022231
2025-11-07 01:34:10.204253,-78,2025-11-07 01:34:10.942714538
2025-11-07 01:34:10.204253,-19201,2025-11-07 01:34:10.950406846
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.958099154
2025-11-07 01:34:10.204253,-73,2025-11-07 01:34:10.965791462
2025-11-07 01:34:10.204253,-18433,2025-11-07 01:34:10.973483769
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:10.981176077
2025-11-07 01:34:10.204253,-71,2025-11-07 01:34:10.988868385
2025-11-07 01:34:10.204253,-17921,2025-11-07 01:34:10.996560692
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:11.004253000
2025-11-07 01:34:10.204253,-71,2025-11-07 01:34:11.011945308
2025-11-07 01:34:10.204253,-17921,2025-11-07 01:34:11.019637615
2025-11-07 01:34:10.204253,-1,2025-11-07 01:34:11.027329923
2025-11-07 01:34:10.204253,-76,2025-11-07 01:34:11.035022231
2025-11-07 01:34:10.745300,-83,2025-11-07 01:34:11.042714538
2025-11-07 01:34:10.745300,-20993,2025-11-07 01:34:11.050406846
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.058099154
2025-11-07 01:34:10.745300,-80,2025-11-07 01:34:11.065791462
2025-11-07 01:34:10.745300,-19713,2025-11-07 01:34:11.073483769
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.081176077
2025-11-07 01:34:10.745300,-61,2025-11-07 01:34:11.088868385
2025-11-07 01:34:10.745300,-9473,2025-11-07 01:34:11.096560692
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.104253000
2025-11-07 01:34:10.745300,-35,2025-11-07 01:34:11.111945308
2025-11-07 01:34:10.745300,-11265,2025-11-07 01:34:11.119637615
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.127329923
2025-11-07 01:34:10.745300,-52,2025-11-07 01:34:11.135022231
2025-11-07 01:34:10.745300,-15361,2025-11-07 01:34:11.142714538
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.150406846
2025-11-07 01:34:10.745300,-80,2025-11-07 01:34:11.158099154
2025-11-07 01:34:10.745300,-22017,2025-11-07 01:34:11.165791462
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.173483769
2025-11-07 01:34:10.745300,-76,2025-11-07 01:34:11.181176077
2025-11-07 01:34:10.745300,-17153,2025-11-07 01:34:11.188868385
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.196560692
2025-11-07 01:34:10.745300,-71,2025-11-07 01:34:11.204253000
2025-11-07 01:34:10.745300,-18433,2025-11-07 01:34:11.211945308
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.219637615
2025-11-07 01:34:10.745300,-76,2025-11-07 01:34:11.227329923
2025-11-07 01:34:10.745300,-20225,2025-11-07 01:34:11.235022231
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.242714538
2025-11-07 01:34:10.745300,-26,2025-11-07 01:34:11.250406846
2025-11-07 01:34:10.745300,-28417,2025-11-07 01:34:11.258099154
2025-11-07 01:34:10.745300,0,2025-11-07 01:34:11.265791462
2025-11-07 01:34:10.745300,330,2025-11-07 01:34:11.273483769
2025-11-07 01:34:10.745300,-11520,2025-11-07 01:34:11.281176077
2025-11-07 01:34:10.745300,0,2025-11-07 01:34:11.288868385
2025-11-07 01:34:10.745300,-297,2025-11-07 01:34:11.296560692
2025-11-07 01:34:10.745300,-13825,2025-11-07 01:34:11.304253000
2025-11-07 01:34:10.745300,-3,2025-11-07 01:34:11.311945308
2025-11-07 01:34:10.745300,-270,2025-11-07 01:34:11.319637615
2025-11-07 01:34:10.745300,-5633,2025-11-07 01:34:11.327329923
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.335022231
2025-11-07 01:34:10.745300,-73,2025-11-07 01:34:11.342714538
2025-11-07 01:34:10.745300,-19201,2025-11-07 01:34:11.350406846
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.358099154
2025-11-07 01:34:10.745300,-28,2025-11-07 01:34:11.365791462
2025-11-07 01:34:10.745300,-12289,2025-11-07 01:34:11.373483769
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.381176077
2025-11-07 01:34:10.745300,-57,2025-11-07 01:34:11.388868385
2025-11-07 01:34:10.745300,-8705,2025-11-07 01:34:11.396560692
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.404253000
2025-11-07 01:34:10.745300,-35,2025-11-07 01:34:11.411945308
2025-11-07 01:34:10.745300,-10497,2025-11-07 01:34:11.419637615
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.427329923
2025-11-07 01:34:10.745300,-38,2025-11-07 01:34:11.435022231
2025-11-07 01:34:10.745300,-8705,2025-11-07 01:34:11.442714538
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.450406846
2025-11-07 01:34:10.745300,-35,2025-11-07 01:34:11.458099154
2025-11-07 01:34:10.745300,-8193,2025-11-07 01:34:11.465791462
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.473483769
2025-11-07 01:34:10.745300,-30,2025-11-07 01:34:11.481176077
2025-11-07 01:34:10.745300,-7425,2025-11-07 01:34:11.488868385
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.496560692
2025-11-07 01:34:10.745300,-28,2025-11-07 01:34:11.504253000
2025-11-07 01:34:10.745300,-5121,2025-11-07 01:34:11.511945308
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.519637615
2025-11-07 01:34:10.745300,-16,2025-11-07 01:34:11.527329923
2025-11-07 01:34:10.745300,-2561,2025-11-07 01:34:11.535022231
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.542714538
2025-11-07 01:34:10.745300,-9,2025-11-07 01:34:11.550406846
2025-11-07 01:34:10.745300,-2049,2025-11-07 01:34:11.558099154
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.565791462
2025-11-07 01:34:10.745300,-7,2025-11-07 01:34:11.573483769
2025-11-07 01:34:10.745300,-257,2025-11-07 01:34:11.581176077
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.588868385
2025-11-07 01:34:10.745300,-2,2025-11-07 01:34:11.596560692
2025-11-07 01:34:10.745300,-257,2025-11-07 01:34:11.604253000
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.611945308
2025-11-07 01:34:10.745300,-2,2025-11-07 01:34:11.619637615
2025-11-07 01:34:10.745300,-1537,2025-11-07 01:34:11.627329923
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.635022231
2025-11-07 01:34:10.745300,-11,2025-11-07 01:34:11.642714538
2025-11-07 01:34:10.745300,-3329,2025-11-07 01:34:11.650406846
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.658099154
2025-11-07 01:34:10.745300,-21,2025-11-07 01:34:11.665791462
2025-11-07 01:34:10.745300,-7425,2025-11-07 01:34:11.673483769
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.681176077
2025-11-07 01:34:10.745300,-40,2025-11-07 01:34:11.688868385
2025-11-07 01:34:10.745300,-12289,2025-11-07 01:34:11.696560692
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.704253000
2025-11-07 01:34:10.745300,-59,2025-11-07 01:34:11.711945308
2025-11-07 01:34:10.745300,-17153,2025-11-07 01:34:11.719637615
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.727329923
2025-11-07 01:34:10.745300,-76,2025-11-07 01:34:11.735022230
2025-11-07 01:34:10.745300,-20993,2025-11-07 01:34:11.742714538
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.750406846
2025-11-07 01:34:10.745300,-87,2025-11-07 01:34:11.758099154
2025-11-07 01:34:10.745300,-23297,2025-11-07 01:34:11.765791462
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.773483769
2025-11-07 01:34:10.745300,-92,2025-11-07 01:34:11.781176077
2025-11-07 01:34:10.745300,-24065,2025-11-07 01:34:11.788868385
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.796560692
2025-11-07 01:34:10.745300,-92,2025-11-07 01:34:11.804253000
2025-11-07 01:34:10.745300,-22785,2025-11-07 01:34:11.811945308
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.819637615
2025-11-07 01:34:10.745300,-90,2025-11-07 01:34:11.827329923
2025-11-07 01:34:10.745300,-22017,2025-11-07 01:34:11.835022231
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.842714538
2025-11-07 01:34:10.745300,-87,2025-11-07 01:34:11.850406846
2025-11-07 01:34:10.745300,-20993,2025-11-07 01:34:11.858099154
2025-11-07 01:34:10.745300,-1,2025-11-07 01:34:11.865791462
2025-11-07 01:34:10.745300,-78,2025-11-07 01:34:11.873483769
2025-11-07 01:34:11.286975,-76,2025-11-07 01:34:11.881176077
2025-11-07 01:34:11.286975,-17921,2025-11-07 01:34:11.888868385
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:11.896560692
2025-11-07 01:34:11.286975,-71,2025-11-07 01:34:11.904253000
2025-11-07 01:34:11.286975,-17921,2025-11-07 01:34:11.911945308
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:11.919637615
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:11.927329923
2025-11-07 01:34:11.286975,-16129,2025-11-07 01:34:11.935022231
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:11.942714538
2025-11-07 01:34:11.286975,-64,2025-11-07 01:34:11.950406846
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:11.958099154
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:11.965791462
2025-11-07 01:34:11.286975,-64,2025-11-07 01:34:11.973483769
2025-11-07 01:34:11.286975,-16129,2025-11-07 01:34:11.981176077
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:11.988868385
2025-11-07 01:34:11.286975,-64,2025-11-07 01:34:11.996560692
2025-11-07 01:34:11.286975,-15361,2025-11-07 01:34:12.004253000
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.011945308
2025-11-07 01:34:11.286975,-64,2025-11-07 01:34:12.019637615
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:12.027329923
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.035022231
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.042714538
2025-11-07 01:34:11.286975,-17153,2025-11-07 01:34:12.050406846
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.058099154
2025-11-07 01:34:11.286975,-68,2025-11-07 01:34:12.065791462
2025-11-07 01:34:11.286975,-17153,2025-11-07 01:34:12.073483769
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.081176077
2025-11-07 01:34:11.286975,-68,2025-11-07 01:34:12.088868385
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:12.096560692
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.104253000
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.111945308
2025-11-07 01:34:11.286975,-16129,2025-11-07 01:34:12.119637615
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.127329923
2025-11-07 01:34:11.286975,-59,2025-11-07 01:34:12.135022231
2025-11-07 01:34:11.286975,-15361,2025-11-07 01:34:12.142714538
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.150406846
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.158099154
2025-11-07 01:34:11.286975,-16129,2025-11-07 01:34:12.165791462
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.173483769
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.181176077
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:12.188868385
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.196560692
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.204253000
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:12.211945308
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.219637615
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.227329923
2025-11-07 01:34:11.286975,-16641,2025-11-07 01:34:12.235022231
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.242714538
2025-11-07 01:34:11.286975,-66,2025-11-07 01:34:12.250406846
2025-11-07 01:34:11.286975,-17153,2025-11-07 01:34:12.258099154
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.265791462
2025-11-07 01:34:11.286975,-71,2025-11-07 01:34:12.273483769
2025-11-07 01:34:11.286975,-18433,2025-11-07 01:34:12.281176077
2025-11-07 01:34:11.286975,-1,2025-11-07 01:34:12.288868385
