timestamp,ecg
16:03:16.315883,14
16:03:16.315883,4864
16:03:16.315883,0
16:03:16.315883,21
16:03:16.315883,4864
16:03:16.315883,0
16:03:16.315883,76
16:03:16.315883,-12800
16:03:16.315883,0
16:03:16.315883,127
16:03:16.315883,-8192
16:03:16.315883,-3
16:03:16.315883,-1437
16:03:16.315883,10239
16:03:16.315883,-6
16:03:16.315883,-730
16:03:16.315883,20479
16:03:16.315883,-1
16:03:16.315883,-31
16:03:16.315883,30207
16:03:16.315883,0
16:03:16.315883,213
16:03:16.315883,-16640
16:03:16.315883,0
16:03:16.315883,194
16:03:16.315883,-11008
16:03:16.315883,0
16:03:16.315883,206
16:03:16.315883,-14080
16:03:16.315883,0
16:03:16.315883,201
16:03:16.315883,-17152
16:03:16.315883,0
16:03:16.315883,179
16:03:16.315883,-20224
16:03:16.315883,0
16:03:16.315883,172
16:03:16.315883,-22784
16:03:16.315883,0
16:03:16.315883,160
16:03:16.315883,-28160
16:03:16.315883,0
16:03:16.315883,139
16:03:16.315883,-29952
16:03:16.315883,0
16:03:16.315883,134
16:03:16.315883,31744
16:03:16.315883,0
16:03:16.315883,110
16:03:16.315883,24320
16:03:16.315883,0
16:03:16.315883,81
16:03:16.315883,14592
16:03:16.315883,0
16:03:16.315883,40
16:03:16.315883,5888
16:03:16.315883,0
16:03:16.315883,-2
16:03:16.315883,-8193
16:03:16.315883,-1
16:03:16.315883,-45
16:03:16.315883,-11265
16:03:16.315883,-1
16:03:16.315883,-35
16:03:16.315883,-3841
16:03:16.315883,-1
16:03:16.315883,9
16:03:16.315883,7936
16:03:16.315883,0
16:03:16.315883,50
16:03:16.315883,15872
16:03:16.315883,0
16:03:16.315883,67
16:03:16.315883,18176
16:03:16.315883,0
16:03:16.315883,71
16:03:16.315883,17152
16:03:16.315883,0
16:03:16.315883,62
16:03:16.315883,15872
16:03:16.315883,0
16:03:16.315883,64
16:03:16.315883,17664
16:03:16.315883,0
16:03:16.315883,67
16:03:16.315883,17152
16:03:16.315883,0
16:03:16.315883,64
16:03:16.315883,16384
16:03:16.315883,0
16:03:16.315883,67
16:03:16.315883,17152
16:03:16.315883,0
16:03:16.315883,59
16:03:16.315883,14080
16:03:16.315883,0
16:03:16.315883,50
16:03:16.315883,11520
16:03:16.315883,0
16:03:16.315883,45
16:03:16.315883,11008
16:03:16.315883,0
16:03:16.315883,38
16:03:16.315883,8960
16:03:16.315883,0
16:03:16.315883,33
16:03:16.315883,7936
16:03:16.315883,0
16:03:16.315883,28
16:03:16.858533,26
16:03:16.858533,5888
16:03:16.858533,0
16:03:16.858533,21
16:03:16.858533,5376
16:03:16.858533,0
16:03:16.858533,23
16:03:16.858533,6656
16:03:16.858533,0
16:03:16.858533,23
16:03:16.858533,6656
16:03:16.858533,0
16:03:16.858533,31
16:03:16.858533,8448
16:03:16.858533,0
16:03:16.858533,38
16:03:16.858533,14592
16:03:16.858533,0
16:03:16.858533,64
16:03:16.858533,15104
16:03:16.858533,0
16:03:16.858533,59
16:03:16.858533,15104
16:03:16.858533,0
16:03:16.858533,57
16:03:16.858533,14592
16:03:16.858533,0
16:03:16.858533,64
16:03:16.858533,18176
16:03:16.858533,0
16:03:16.858533,74
16:03:16.858533,19456
16:03:16.858533,0
16:03:16.858533,71
16:03:16.858533,12032
16:03:16.858533,0
16:03:16.858533,21
16:03:16.858533,3584
16:03:16.858533,0
16:03:16.858533,19
16:03:16.858533,7168
16:03:16.858533,0
16:03:16.858533,38
16:03:16.858533,9728
16:03:16.858533,0
16:03:16.858533,31
16:03:16.858533,7168
16:03:16.858533,0
16:03:16.858533,28
16:03:16.858533,5888
16:03:16.858533,0
16:03:16.858533,23
16:03:16.858533,6656
16:03:16.858533,0
16:03:16.858533,57
16:03:16.858533,-23296
16:03:16.858533,0
16:03:16.858533,239
16:03:16.858533,29440
16:03:16.858533,-1
16:03:16.858533,-1068
16:03:16.858533,-21249
16:03:16.858533,-7
16:03:16.858533,-1119
16:03:16.858533,-30977
16:03:16.858533,-2
16:03:16.858533,-110
16:03:16.858533,5631
16:03:16.858533,0
16:03:16.858533,177
16:03:16.858533,-15872
16:03:16.858533,0
16:03:16.858533,172
16:03:16.858533,-14848
16:03:16.858533,0
16:03:16.858533,203
16:03:16.858533,-17920
16:03:16.858533,0
16:03:16.858533,186
16:03:16.858533,-18432
16:03:16.858533,0
16:03:16.858533,174
16:03:16.858533,-22016
16:03:16.858533,0
16:03:16.858533,167
16:03:16.858533,-24576
16:03:16.858533,0
16:03:16.858533,155
16:03:16.858533,-27648
16:03:16.858533,0
16:03:16.858533,143
16:03:16.858533,-30720
16:03:16.858533,0
16:03:16.858533,131
16:03:16.858533,32512
16:03:16.858533,0
16:03:16.858533,122
16:03:16.858533,28672
16:03:16.858533,0
16:03:16.858533,100
16:03:16.858533,22016
16:03:16.858533,0
16:03:16.858533,69
16:03:16.858533,12800
16:03:16.858533,0
16:03:16.858533,28
16:03:16.858533,1792
16:03:16.858533,0
16:03:16.858533,-14
16:03:17.442595,-35
16:03:17.442595,-12545
16:03:17.442595,-1
16:03:17.442595,-52
16:03:17.442595,-8193
16:03:17.442595,-1
16:03:17.442595,-4
16:03:17.442595,5631
16:03:17.442595,0
16:03:17.442595,35
16:03:17.442595,13312
16:03:17.442595,0
16:03:17.442595,74
16:03:17.442595,21248
16:03:17.442595,0
16:03:17.442595,76
16:03:17.442595,18944
16:03:17.442595,0
16:03:17.442595,74
16:03:17.442595,18176
16:03:17.442595,0
16:03:17.442595,69
16:03:17.442595,18176
16:03:17.442595,0
16:03:17.442595,71
16:03:17.442595,18176
16:03:17.442595,0
16:03:17.442595,71
16:03:17.442595,18176
16:03:17.442595,0
16:03:17.442595,69
16:03:17.442595,17152
16:03:17.442595,0
16:03:17.442595,64
16:03:17.442595,16384
16:03:17.442595,0
16:03:17.442595,59
16:03:17.442595,14592
16:03:17.442595,0
16:03:17.442595,55
16:03:17.442595,12032
16:03:17.442595,0
16:03:17.442595,43
16:03:17.442595,11008
16:03:17.442595,0
16:03:17.442595,38
16:03:17.442595,8960
16:03:17.442595,0
16:03:17.442595,35
16:03:17.442595,8448
16:03:17.442595,0
16:03:17.442595,28
16:03:17.442595,7168
16:03:17.442595,0
16:03:17.442595,28
16:03:17.442595,7168
16:03:17.442595,0
16:03:17.442595,26
16:03:17.442595,5888
16:03:17.442595,0
16:03:17.442595,21
16:03:17.442595,5376
16:03:17.442595,0
16:03:17.442595,23
16:03:17.442595,5888
16:03:17.442595,0
16:03:17.442595,21
16:03:17.442595,4864
16:03:17.442595,0
16:03:17.442595,19
16:03:17.442595,4864
16:03:17.442595,0
16:03:17.442595,16
16:03:17.442595,4096
16:03:17.442595,0
16:03:17.442595,16
16:03:17.442595,4096
16:03:17.442595,0
16:03:17.442595,16
16:03:17.442595,4096
16:03:17.442595,0
16:03:17.442595,16
16:03:17.442595,4096
16:03:17.442595,0
16:03:17.442595,19
16:03:17.442595,4864
