timestamp,ecg,reconstructed_time
2025-11-07 14:30:08.217100,2276,2025-11-07 14:30:08.217100000
2025-11-07 14:30:08.217100,19200,2025-11-07 14:30:08.224792308
2025-11-07 14:30:08.217100,13,2025-11-07 14:30:08.232484615
2025-11-07 14:30:08.217100,3055,2025-11-07 14:30:08.240176923
2025-11-07 14:30:08.217100,-768,2025-11-07 14:30:08.247869231
2025-11-07 14:30:08.217100,10,2025-11-07 14:30:08.255561538
2025-11-07 14:30:08.217100,2962,2025-11-07 14:30:08.263253846
2025-11-07 14:30:08.217100,-22272,2025-11-07 14:30:08.270946154
2025-11-07 14:30:08.217100,10,2025-11-07 14:30:08.278638462
2025-11-07 14:30:08.217100,2427,2025-11-07 14:30:08.286330769
2025-11-07 14:30:08.217100,4608,2025-11-07 14:30:08.294023077
2025-11-07 14:30:08.217100,9,2025-11-07 14:30:08.301715385
2025-11-07 14:30:08.217100,2140,2025-11-07 14:30:08.309407692
2025-11-07 14:30:08.217100,23296,2025-11-07 14:30:08.317100000
2025-11-07 14:30:08.217100,7,2025-11-07 14:30:08.324792308
2025-11-07 14:30:08.217100,1704,2025-11-07 14:30:08.332484615
2025-11-07 14:30:08.217100,512,2025-11-07 14:30:08.340176923
2025-11-07 14:30:08.217100,6,2025-11-07 14:30:08.347869231
2025-11-07 14:30:08.217100,1349,2025-11-07 14:30:08.355561538
2025-11-07 14:30:08.217100,-26624,2025-11-07 14:30:08.363253846
2025-11-07 14:30:08.217100,4,2025-11-07 14:30:08.370946154
2025-11-07 14:30:08.217100,1020,2025-11-07 14:30:08.378638462
2025-11-07 14:30:08.217100,25344,2025-11-07 14:30:08.386330769
2025-11-07 14:30:08.217100,3,2025-11-07 14:30:08.394023077
2025-11-07 14:30:08.217100,714,2025-11-07 14:30:08.401715385
2025-11-07 14:30:08.217100,15360,2025-11-07 14:30:08.409407692
2025-11-07 14:30:08.217100,2,2025-11-07 14:30:08.417100000
2025-11-07 14:30:08.217100,443,2025-11-07 14:30:08.424792308
2025-11-07 14:30:08.217100,16640,2025-11-07 14:30:08.432484615
2025-11-07 14:30:08.217100,1,2025-11-07 14:30:08.440176923
2025-11-07 14:30:08.217100,206,2025-11-07 14:30:08.447869231
2025-11-07 14:30:08.217100,25600,2025-11-07 14:30:08.455561538
2025-11-07 14:30:08.217100,0,2025-11-07 14:30:08.463253846
2025-11-07 14:30:08.217100,2,2025-11-07 14:30:08.470946154
2025-11-07 14:30:08.217100,-24320,2025-11-07 14:30:08.478638462
2025-11-07 14:30:08.217100,-1,2025-11-07 14:30:08.486330769
2025-11-07 14:30:08.217100,-186,2025-11-07 14:30:08.494023077
2025-11-07 14:30:08.217100,-3329,2025-11-07 14:30:08.501715385
2025-11-07 14:30:08.217100,-2,2025-11-07 14:30:08.509407692
2025-11-07 14:30:08.217100,-364,2025-11-07 14:30:08.517100000
2025-11-07 14:30:08.217100,14335,2025-11-07 14:30:08.524792308
2025-11-07 14:30:08.217100,-2,2025-11-07 14:30:08.532484615
2025-11-07 14:30:08.217100,-534,2025-11-07 14:30:08.540176923
2025-11-07 14:30:08.217100,-21249,2025-11-07 14:30:08.547869231
2025-11-07 14:30:08.217100,-3,2025-11-07 14:30:08.555561538
2025-11-07 14:30:08.217100,-659,2025-11-07 14:30:08.563253846
2025-11-07 14:30:08.217100,13567,2025-11-07 14:30:08.570946154
2025-11-07 14:30:08.217100,-3,2025-11-07 14:30:08.578638462
