timestamp,ecg,reconstructed_time
2025-11-07 12:25:17.423487,1175,2025-11-07 12:25:17.423487000
2025-11-07 12:25:17.423487,5888,2025-11-07 12:25:17.431179308
2025-11-07 12:25:17.423487,2,2025-11-07 12:25:17.438871615
2025-11-07 12:25:17.423487,16,2025-11-07 12:25:17.446563923
2025-11-07 12:25:17.423487,-2304,2025-11-07 12:25:17.454256231
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.461948538
2025-11-07 12:25:17.423487,-21,2025-11-07 12:25:17.469640846
2025-11-07 12:25:17.423487,24831,2025-11-07 12:25:17.477333154
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.485025462
2025-11-07 12:25:17.423487,-191,2025-11-07 12:25:17.492717769
2025-11-07 12:25:17.423487,31743,2025-11-07 12:25:17.500410077
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.508102385
2025-11-07 12:25:17.423487,-138,2025-11-07 12:25:17.515794692
2025-11-07 12:25:17.423487,24831,2025-11-07 12:25:17.523487000
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.531179308
2025-11-07 12:25:17.423487,-138,2025-11-07 12:25:17.538871615
2025-11-07 12:25:17.423487,-32513,2025-11-07 12:25:17.546563923
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.554256231
2025-11-07 12:25:17.423487,-140,2025-11-07 12:25:17.561948538
2025-11-07 12:25:17.423487,28671,2025-11-07 12:25:17.569640846
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.577333154
2025-11-07 12:25:17.423487,-140,2025-11-07 12:25:17.585025462
2025-11-07 12:25:17.423487,30463,2025-11-07 12:25:17.592717769
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.600410077
2025-11-07 12:25:17.423487,-140,2025-11-07 12:25:17.608102385
2025-11-07 12:25:17.423487,29951,2025-11-07 12:25:17.615794692
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.623487000
2025-11-07 12:25:17.423487,-138,2025-11-07 12:25:17.631179308
2025-11-07 12:25:17.423487,28671,2025-11-07 12:25:17.638871615
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.646563923
2025-11-07 12:25:17.423487,-152,2025-11-07 12:25:17.654256231
2025-11-07 12:25:17.423487,24319,2025-11-07 12:25:17.661948538
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.669640846
2025-11-07 12:25:17.423487,-171,2025-11-07 12:25:17.677333154
2025-11-07 12:25:17.423487,23039,2025-11-07 12:25:17.685025462
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.692717769
2025-11-07 12:25:17.423487,-157,2025-11-07 12:25:17.700410077
2025-11-07 12:25:17.423487,27391,2025-11-07 12:25:17.708102385
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.715794692
2025-11-07 12:25:17.423487,-140,2025-11-07 12:25:17.723487000
2025-11-07 12:25:17.423487,-32001,2025-11-07 12:25:17.731179308
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.738871615
2025-11-07 12:25:17.423487,-107,2025-11-07 12:25:17.746563923
2025-11-07 12:25:17.423487,-21505,2025-11-07 12:25:17.754256231
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.761948538
2025-11-07 12:25:17.423487,-57,2025-11-07 12:25:17.769640846
2025-11-07 12:25:17.423487,-7681,2025-11-07 12:25:17.777333154
2025-11-07 12:25:17.423487,-1,2025-11-07 12:25:17.785025462
2025-11-07 12:25:17.423487,-14,2025-11-07 12:25:17.792717769
2025-11-07 12:25:17.423487,1279,2025-11-07 12:25:17.800410077
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.808102385
2025-11-07 12:25:17.423487,16,2025-11-07 12:25:17.815794692
2025-11-07 12:25:17.423487,3584,2025-11-07 12:25:17.823487000
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.831179308
2025-11-07 12:25:17.423487,16,2025-11-07 12:25:17.838871615
2025-11-07 12:25:17.423487,6656,2025-11-07 12:25:17.846563923
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.854256231
2025-11-07 12:25:17.423487,31,2025-11-07 12:25:17.861948538
2025-11-07 12:25:17.423487,7936,2025-11-07 12:25:17.869640846
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.877333154
2025-11-07 12:25:17.423487,35,2025-11-07 12:25:17.885025462
2025-11-07 12:25:17.423487,9728,2025-11-07 12:25:17.892717769
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.900410077
2025-11-07 12:25:17.423487,33,2025-11-07 12:25:17.908102385
2025-11-07 12:25:17.423487,7936,2025-11-07 12:25:17.915794692
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.923487000
2025-11-07 12:25:17.423487,28,2025-11-07 12:25:17.931179308
2025-11-07 12:25:17.423487,5376,2025-11-07 12:25:17.938871615
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.946563923
2025-11-07 12:25:17.423487,23,2025-11-07 12:25:17.954256230
2025-11-07 12:25:17.423487,5376,2025-11-07 12:25:17.961948538
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.969640846
2025-11-07 12:25:17.423487,16,2025-11-07 12:25:17.977333154
2025-11-07 12:25:17.423487,4096,2025-11-07 12:25:17.985025462
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:17.992717769
2025-11-07 12:25:17.423487,19,2025-11-07 12:25:18.000410077
2025-11-07 12:25:17.423487,4864,2025-11-07 12:25:18.008102385
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.015794692
2025-11-07 12:25:17.423487,21,2025-11-07 12:25:18.023487000
2025-11-07 12:25:17.423487,5376,2025-11-07 12:25:18.031179308
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.038871615
2025-11-07 12:25:17.423487,28,2025-11-07 12:25:18.046563923
2025-11-07 12:25:17.423487,8448,2025-11-07 12:25:18.054256231
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.061948538
2025-11-07 12:25:17.423487,33,2025-11-07 12:25:18.069640846
2025-11-07 12:25:17.423487,7168,2025-11-07 12:25:18.077333154
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.085025462
2025-11-07 12:25:17.423487,26,2025-11-07 12:25:18.092717769
2025-11-07 12:25:17.423487,8960,2025-11-07 12:25:18.100410077
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.108102385
2025-11-07 12:25:17.423487,40,2025-11-07 12:25:18.115794692
2025-11-07 12:25:17.423487,8960,2025-11-07 12:25:18.123487000
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.131179308
2025-11-07 12:25:17.423487,35,2025-11-07 12:25:18.138871615
2025-11-07 12:25:17.423487,8960,2025-11-07 12:25:18.146563923
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.154256231
2025-11-07 12:25:17.423487,38,2025-11-07 12:25:18.161948538
2025-11-07 12:25:17.423487,9728,2025-11-07 12:25:18.169640846
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.177333154
2025-11-07 12:25:17.423487,35,2025-11-07 12:25:18.185025462
2025-11-07 12:25:17.423487,10240,2025-11-07 12:25:18.192717769
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.200410077
2025-11-07 12:25:17.423487,35,2025-11-07 12:25:18.208102385
2025-11-07 12:25:17.423487,7168,2025-11-07 12:25:18.215794692
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.223487000
2025-11-07 12:25:17.423487,26,2025-11-07 12:25:18.231179308
2025-11-07 12:25:17.423487,4864,2025-11-07 12:25:18.238871615
2025-11-07 12:25:17.423487,0,2025-11-07 12:25:18.246563923
2025-11-07 12:25:17.423487,11,2025-11-07 12:25:18.254256231
2025-11-07 12:25:17.966244,7,2025-11-07 12:25:18.261948538
2025-11-07 12:25:17.966244,4096,2025-11-07 12:25:18.269640846
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.277333154
2025-11-07 12:25:17.966244,40,2025-11-07 12:25:18.285025462
2025-11-07 12:25:17.966244,12800,2025-11-07 12:25:18.292717769
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.300410077
2025-11-07 12:25:17.966244,59,2025-11-07 12:25:18.308102385
2025-11-07 12:25:17.966244,15872,2025-11-07 12:25:18.315794692
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.323487000
2025-11-07 12:25:17.966244,52,2025-11-07 12:25:18.331179308
2025-11-07 12:25:17.966244,11520,2025-11-07 12:25:18.338871615
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.346563923
2025-11-07 12:25:17.966244,38,2025-11-07 12:25:18.354256231
2025-11-07 12:25:17.966244,8960,2025-11-07 12:25:18.361948538
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.369640846
2025-11-07 12:25:17.966244,54,2025-11-07 12:25:18.377333154
2025-11-07 12:25:17.966244,16384,2025-11-07 12:25:18.385025462
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.392717769
2025-11-07 12:25:17.966244,57,2025-11-07 12:25:18.400410077
2025-11-07 12:25:17.966244,13824,2025-11-07 12:25:18.408102385
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.415794692
2025-11-07 12:25:17.966244,50,2025-11-07 12:25:18.423487000
2025-11-07 12:25:17.966244,10240,2025-11-07 12:25:18.431179308
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.438871615
2025-11-07 12:25:17.966244,38,2025-11-07 12:25:18.446563923
2025-11-07 12:25:17.966244,13824,2025-11-07 12:25:18.454256231
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.461948538
2025-11-07 12:25:17.966244,52,2025-11-07 12:25:18.469640846
2025-11-07 12:25:17.966244,8448,2025-11-07 12:25:18.477333154
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.485025462
2025-11-07 12:25:17.966244,4,2025-11-07 12:25:18.492717769
2025-11-07 12:25:17.966244,1792,2025-11-07 12:25:18.500410077
2025-11-07 12:25:17.966244,0,2025-11-07 12:25:18.508102385
2025-11-07 12:25:17.966244,320,2025-11-07 12:25:18.515794692
2025-11-07 12:25:17.966244,-5376,2025-11-07 12:25:18.523487000
2025-11-07 12:25:17.966244,3,2025-11-07 12:25:18.531179308
2025-11-07 12:25:17.966244,1242,2025-11-07 12:25:18.538871615
2025-11-07 12:25:17.966244,31488,2025-11-07 12:25:18.546563923
2025-11-07 12:25:17.966244,2,2025-11-07 12:25:18.554256231
2025-11-07 12:25:17.966244,52,2025-11-07 12:25:18.561948538
2025-11-07 12:25:17.966244,-512,2025-11-07 12:25:18.569640846
2025-11-07 12:25:17.966244,-1,2025-11-07 12:25:18.577333154
2025-11-07 12:25:17.966244,7,2025-11-07 12:25:18.585025462
2025-11-07 12:25:17.966244,-32768,2025-11-07 12:25:18.592717769
2025-11-07 12:25:17.966244,-1,2025-11-07 12:25:18.600410077
2025-11-07 12:25:17.966244,-171,2025-11-07 12:25:18.608102385
2025-11-07 12:25:17.966244,-32001,2025-11-07 12:25:18.615794692
2025-11-07 12:25:17.966244,-1,2025-11-07 12:25:18.623487000
