timestamp,ecg,session,time_seconds
11:19:15.816044,54,stroop,0.0
11:19:15.816044,12800,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,45,stroop,0.0
11:19:15.816044,10752,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,42,stroop,0.0
11:19:15.816044,10752,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,38,stroop,0.0
11:19:15.816044,8960,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,33,stroop,0.0
11:19:15.816044,8448,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,35,stroop,0.0
11:19:15.816044,8960,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,33,stroop,0.0
11:19:15.816044,7680,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,30,stroop,0.0
11:19:15.816044,7680,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,28,stroop,0.0
11:19:15.816044,7168,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,28,stroop,0.0
11:19:15.816044,6656,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,26,stroop,0.0
11:19:15.816044,7168,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,38,stroop,0.0
11:19:15.816044,12800,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,52,stroop,0.0
11:19:15.816044,10752,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,42,stroop,0.0
11:19:15.816044,12032,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,45,stroop,0.0
11:19:15.816044,12800,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,61,stroop,0.0
11:19:15.816044,16896,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,66,stroop,0.0
11:19:15.816044,16896,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,57,stroop,0.0
11:19:15.816044,10240,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,33,stroop,0.0
11:19:15.816044,9728,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,38,stroop,0.0
11:19:15.816044,10240,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,38,stroop,0.0
11:19:15.816044,7680,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,28,stroop,0.0
11:19:15.816044,11520,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,147,stroop,0.0
11:19:15.816044,-23040,stroop,0.0
11:19:15.816044,1,stroop,0.0
11:19:15.816044,591,stroop,0.0
11:19:15.816044,-32000,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,-908,stroop,0.0
11:19:15.816044,29951,stroop,0.0
11:19:15.816044,-7,stroop,0.0
11:19:15.816044,-1425,stroop,0.0
11:19:15.816044,-24321,stroop,0.0
11:19:15.816044,-3,stroop,0.0
11:19:15.816044,-133,stroop,0.0
11:19:15.816044,9983,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,221,stroop,0.0
11:19:15.816044,2816,stroop,0.0
11:19:15.816044,1,stroop,0.0
11:19:15.816044,207,stroop,0.0
11:19:15.816044,-9472,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,238,stroop,0.0
11:19:15.816044,-11264,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,200,stroop,0.0
11:19:15.816044,-13056,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,195,stroop,0.0
11:19:15.816044,-17408,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,188,stroop,0.0
11:19:15.816044,-18688,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,174,stroop,0.0
11:19:15.816044,-21760,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,169,stroop,0.0
11:19:15.816044,-23552,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,152,stroop,0.0
11:19:15.816044,-32000,stroop,0.0
11:19:15.816044,0,stroop,0.0
11:19:15.816044,112,stroop,0.0
11:19:16.320413,97,stroop,0.5043690000020433
11:19:16.320413,21760,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,78,stroop,0.5043690000020433
11:19:16.320413,20736,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,83,stroop,0.5043690000020433
11:19:16.320413,23040,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,95,stroop,0.5043690000020433
11:19:16.320413,23040,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,85,stroop,0.5043690000020433
11:19:16.320413,21248,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,73,stroop,0.5043690000020433
11:19:16.320413,17664,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,69,stroop,0.5043690000020433
11:19:16.320413,18176,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,76,stroop,0.5043690000020433
11:19:16.320413,23040,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,92,stroop,0.5043690000020433
11:19:16.320413,21760,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,83,stroop,0.5043690000020433
11:19:16.320413,21760,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,78,stroop,0.5043690000020433
11:19:16.320413,18688,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,76,stroop,0.5043690000020433
11:19:16.320413,18176,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,61,stroop,0.5043690000020433
11:19:16.320413,13824,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,54,stroop,0.5043690000020433
11:19:16.320413,15104,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,57,stroop,0.5043690000020433
11:19:16.320413,12800,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,47,stroop,0.5043690000020433
11:19:16.320413,10752,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,38,stroop,0.5043690000020433
11:19:16.320413,10240,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,40,stroop,0.5043690000020433
11:19:16.320413,9728,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,35,stroop,0.5043690000020433
11:19:16.320413,8448,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,33,stroop,0.5043690000020433
11:19:16.320413,8448,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,38,stroop,0.5043690000020433
11:19:16.320413,10240,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,35,stroop,0.5043690000020433
11:19:16.320413,7680,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,28,stroop,0.5043690000020433
11:19:16.320413,7168,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,28,stroop,0.5043690000020433
11:19:16.320413,7680,stroop,0.5043690000020433
11:19:16.320413,0,stroop,0.5043690000020433
11:19:16.320413,40,stroop,0.5043690000020433
11:19:16.320413,12800,stroop,0.5043690000020433
