timestamp,ecg,reconstructed_time
2025-11-07 21:20:55.112255,447,2025-11-07 21:20:55.112255000
2025-11-07 21:20:55.112255,3840,2025-11-07 21:20:55.119947308
2025-11-07 21:20:55.112255,4,2025-11-07 21:20:55.127639615
2025-11-07 21:20:55.112255,1198,2025-11-07 21:20:55.135331923
2025-11-07 21:20:55.112255,6912,2025-11-07 21:20:55.143024231
2025-11-07 21:20:55.112255,4,2025-11-07 21:20:55.150716538
2025-11-07 21:20:55.112255,985,2025-11-07 21:20:55.158408846
2025-11-07 21:20:55.112255,14848,2025-11-07 21:20:55.166101154
2025-11-07 21:20:55.112255,3,2025-11-07 21:20:55.173793462
2025-11-07 21:20:55.112255,658,2025-11-07 21:20:55.181485769
2025-11-07 21:20:55.112255,-27648,2025-11-07 21:20:55.189178077
2025-11-07 21:20:55.112255,3,2025-11-07 21:20:55.196870385
2025-11-07 21:20:55.112255,1520,2025-11-07 21:20:55.204562692
2025-11-07 21:20:55.112255,-23040,2025-11-07 21:20:55.212255000
2025-11-07 21:20:55.112255,6,2025-11-07 21:20:55.219947308
2025-11-07 21:20:55.112255,989,2025-11-07 21:20:55.227639615
2025-11-07 21:20:55.112255,29696,2025-11-07 21:20:55.235331923
2025-11-07 21:20:55.112255,0,2025-11-07 21:20:55.243024231
2025-11-07 21:20:55.112255,-206,2025-11-07 21:20:55.250716538
2025-11-07 21:20:55.112255,-22017,2025-11-07 21:20:55.258408846
2025-11-07 21:20:55.112255,-2,2025-11-07 21:20:55.266101154
2025-11-07 21:20:55.112255,-587,2025-11-07 21:20:55.273793462
2025-11-07 21:20:55.112255,3583,2025-11-07 21:20:55.281485769
2025-11-07 21:20:55.112255,-3,2025-11-07 21:20:55.289178077
2025-11-07 21:20:55.112255,-873,2025-11-07 21:20:55.296870385
2025-11-07 21:20:55.112255,-1793,2025-11-07 21:20:55.304562692
2025-11-07 21:20:55.112255,-5,2025-11-07 21:20:55.312255000
2025-11-07 21:20:55.112255,-1179,2025-11-07 21:20:55.319947308
2025-11-07 21:20:55.112255,-5377,2025-11-07 21:20:55.327639615
2025-11-07 21:20:55.112255,-6,2025-11-07 21:20:55.335331923
2025-11-07 21:20:55.112255,-1435,2025-11-07 21:20:55.343024231
2025-11-07 21:20:55.112255,-6401,2025-11-07 21:20:55.350716538
2025-11-07 21:20:55.112255,-7,2025-11-07 21:20:55.358408846
2025-11-07 21:20:55.112255,-1679,2025-11-07 21:20:55.366101154
2025-11-07 21:20:55.112255,-1537,2025-11-07 21:20:55.373793462
2025-11-07 21:20:55.112255,-8,2025-11-07 21:20:55.381485769
2025-11-07 21:20:55.112255,-1915,2025-11-07 21:20:55.389178077
2025-11-07 21:20:55.112255,6911,2025-11-07 21:20:55.396870385
2025-11-07 21:20:55.112255,-8,2025-11-07 21:20:55.404562692
2025-11-07 21:20:55.112255,-2136,2025-11-07 21:20:55.412255000
2025-11-07 21:20:55.112255,17407,2025-11-07 21:20:55.419947308
2025-11-07 21:20:55.112255,-9,2025-11-07 21:20:55.427639615
2025-11-07 21:20:55.112255,-2330,2025-11-07 21:20:55.435331923
2025-11-07 21:20:55.112255,-29953,2025-11-07 21:20:55.443024231
2025-11-07 21:20:55.112255,-10,2025-11-07 21:20:55.450716538
2025-11-07 21:20:55.112255,-2510,2025-11-07 21:20:55.458408846
2025-11-07 21:20:55.112255,-5633,2025-11-07 21:20:55.466101154
2025-11-07 21:20:55.112255,-11,2025-11-07 21:20:55.473793462
2025-11-07 21:20:55.112255,-2649,2025-11-07 21:20:55.481485769
2025-11-07 21:20:55.112255,26623,2025-11-07 21:20:55.489178077
2025-11-07 21:20:55.112255,-11,2025-11-07 21:20:55.496870385
2025-11-07 21:20:55.112255,-2768,2025-11-07 21:20:55.504562692
2025-11-07 21:20:55.112255,-769,2025-11-07 21:20:55.512255000
