timestamp,ecg,session,source_file
11:13:16.816808,-312,baseline,baseline.csv
11:13:16.816808,-17665,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-312,baseline,baseline.csv
11:13:16.816808,-22529,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-367,baseline,baseline.csv
11:13:16.816808,-29185,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-383,baseline,baseline.csv
11:13:16.816808,-32257,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-393,baseline,baseline.csv
11:13:16.816808,23295,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-448,baseline,baseline.csv
11:13:16.816808,13055,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-467,baseline,baseline.csv
11:13:16.816808,10495,baseline,baseline.csv
11:13:16.816808,-2,baseline,baseline.csv
11:13:16.816808,-503,baseline,baseline.csv
11:13:16.816808,-7681,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-562,baseline,baseline.csv
11:13:16.816808,-15105,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-588,baseline,baseline.csv
11:13:16.816808,-20481,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-596,baseline,baseline.csv
11:13:16.816808,-24833,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-617,baseline,baseline.csv
11:13:16.816808,-23041,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-603,baseline,baseline.csv
11:13:16.816808,-32257,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-646,baseline,baseline.csv
11:13:16.816808,-29185,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-641,baseline,baseline.csv
11:13:16.816808,29695,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-643,baseline,baseline.csv
11:13:16.816808,-32257,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-639,baseline,baseline.csv
11:13:16.816808,32767,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-648,baseline,baseline.csv
11:13:16.816808,30975,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-648,baseline,baseline.csv
11:13:16.816808,25343,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-686,baseline,baseline.csv
11:13:16.816808,23551,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-672,baseline,baseline.csv
11:13:16.816808,20479,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-691,baseline,baseline.csv
11:13:16.816808,23039,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-679,baseline,baseline.csv
11:13:16.816808,19967,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-686,baseline,baseline.csv
11:13:16.816808,25343,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-665,baseline,baseline.csv
11:13:16.816808,27903,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-667,baseline,baseline.csv
11:13:16.816808,18687,baseline,baseline.csv
11:13:16.816808,-3,baseline,baseline.csv
11:13:16.816808,-708,baseline,baseline.csv
11:13:17.412786,-693,baseline,baseline.csv
11:13:17.412786,21247,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-681,baseline,baseline.csv
11:13:17.412786,24319,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-681,baseline,baseline.csv
11:13:17.412786,18687,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-689,baseline,baseline.csv
11:13:17.412786,23039,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-667,baseline,baseline.csv
11:13:17.412786,-5377,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-236,baseline,baseline.csv
11:13:17.412786,23807,baseline,baseline.csv
11:13:17.412786,-1,baseline,baseline.csv
11:13:17.412786,-772,baseline,baseline.csv
11:13:17.412786,-2305,baseline,baseline.csv
11:13:17.412786,-8,baseline,baseline.csv
11:13:17.412786,-2308,baseline,baseline.csv
11:13:17.412786,3839,baseline,baseline.csv
11:13:17.412786,-7,baseline,baseline.csv
11:13:17.412786,-1001,baseline,baseline.csv
11:13:17.412786,13311,baseline,baseline.csv
11:13:17.412786,-3,baseline,baseline.csv
11:13:17.412786,-593,baseline,baseline.csv
11:13:17.412786,17407,baseline,baseline.csv
11:13:17.412786,-2,baseline,baseline.csv
11:13:17.412786,-462,baseline,baseline.csv
11:13:17.412786,5119,baseline,baseline.csv
11:13:17.412786,-2,baseline,baseline.csv
11:13:17.412786,-453,baseline,baseline.csv
11:13:17.412786,14847,baseline,baseline.csv
11:13:17.412786,-2,baseline,baseline.csv
11:13:17.412786,-484,baseline,baseline.csv
11:13:17.412786,9983,baseline,baseline.csv
11:13:17.412786,-2,baseline,baseline.csv
11:13:17.412786,-455,baseline,baseline.csv
