timestamp,ecg,reconstructed_time
2025-11-07 15:05:27.296488,-107,2025-11-07 15:05:27.296488000
2025-11-07 15:05:27.296488,-26625,2025-11-07 15:05:27.304180308
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.311872615
2025-11-07 15:05:27.296488,-100,2025-11-07 15:05:27.319564923
2025-11-07 15:05:27.296488,-23553,2025-11-07 15:05:27.327257231
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.334949538
2025-11-07 15:05:27.296488,-86,2025-11-07 15:05:27.342641846
2025-11-07 15:05:27.296488,-19969,2025-11-07 15:05:27.350334154
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.358026462
2025-11-07 15:05:27.296488,-71,2025-11-07 15:05:27.365718769
2025-11-07 15:05:27.296488,-16129,2025-11-07 15:05:27.373411077
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.381103385
2025-11-07 15:05:27.296488,-59,2025-11-07 15:05:27.388795692
2025-11-07 15:05:27.296488,-13825,2025-11-07 15:05:27.396488000
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.404180308
2025-11-07 15:05:27.296488,-52,2025-11-07 15:05:27.411872615
2025-11-07 15:05:27.296488,-11777,2025-11-07 15:05:27.419564923
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.427257231
2025-11-07 15:05:27.296488,-43,2025-11-07 15:05:27.434949538
2025-11-07 15:05:27.296488,-9985,2025-11-07 15:05:27.442641846
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.450334154
2025-11-07 15:05:27.296488,-43,2025-11-07 15:05:27.458026462
2025-11-07 15:05:27.296488,-9985,2025-11-07 15:05:27.465718769
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.473411077
2025-11-07 15:05:27.296488,-38,2025-11-07 15:05:27.481103385
2025-11-07 15:05:27.296488,-9985,2025-11-07 15:05:27.488795692
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.496488000
2025-11-07 15:05:27.296488,-40,2025-11-07 15:05:27.504180308
2025-11-07 15:05:27.296488,-9985,2025-11-07 15:05:27.511872615
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.519564923
2025-11-07 15:05:27.296488,-38,2025-11-07 15:05:27.527257231
2025-11-07 15:05:27.296488,-9473,2025-11-07 15:05:27.534949538
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.542641846
2025-11-07 15:05:27.296488,-38,2025-11-07 15:05:27.550334154
2025-11-07 15:05:27.296488,-8705,2025-11-07 15:05:27.558026462
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.565718769
2025-11-07 15:05:27.296488,-33,2025-11-07 15:05:27.573411077
2025-11-07 15:05:27.296488,-8705,2025-11-07 15:05:27.581103385
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.588795692
2025-11-07 15:05:27.296488,-35,2025-11-07 15:05:27.596488000
2025-11-07 15:05:27.296488,-6913,2025-11-07 15:05:27.604180308
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.611872615
2025-11-07 15:05:27.296488,-23,2025-11-07 15:05:27.619564923
2025-11-07 15:05:27.296488,-6401,2025-11-07 15:05:27.627257231
2025-11-07 15:05:27.296488,-1,2025-11-07 15:05:27.634949538
2025-11-07 15:05:27.296488,-23,2025-11-07 15:05:27.642641846
