timestamp,ecg
19:14:36.372824,-26
19:14:36.372824,-18433
19:14:36.372824,0
19:14:36.372824,664
19:14:36.372824,12032
19:14:36.372824,4
19:14:36.372824,721
19:14:36.372824,-24320
19:14:36.372824,-1
19:14:36.372824,-288
19:14:36.372824,-7425
19:14:36.372824,-1
19:14:36.372824,-71
19:14:36.372824,26367
19:14:36.372824,-1
19:14:36.372824,-66
19:14:36.372824,-13569
19:14:36.372824,-1
19:14:36.372824,-95
19:14:36.372824,-16641
19:14:36.372824,-1
19:14:36.372824,-30
19:14:36.372824,-8193
19:14:36.372824,-1
19:14:36.372824,-35
19:14:36.372824,-5633
19:14:36.372824,-1
19:14:36.372824,-11
19:14:36.372824,767
19:14:36.372824,0
19:14:36.372824,14
19:14:36.372824,6656
19:14:36.372824,0
19:14:36.372824,45
19:14:36.372824,17664
19:14:36.372824,0
19:14:36.372824,83
19:14:36.372824,26112
19:14:36.372824,0
19:14:36.372824,133
19:14:36.372824,-23040
19:14:36.372824,0
19:14:36.372824,195
19:14:36.372824,-11520
19:14:36.372824,0
19:14:36.372824,214
19:14:36.372824,-10752
19:14:36.372824,0
19:14:36.372824,202
19:14:36.372824,-22272
19:14:36.372824,0
19:14:36.372824,114
19:14:36.372824,13824
19:14:36.372824,0
19:14:36.372824,-7
19:14:36.372824,-13569
19:14:36.372824,-1
19:14:36.372824,-78
19:14:36.372824,-23297
19:14:36.372824,-1
19:14:36.372824,-104
19:14:36.372824,-28161
19:14:36.372824,-1
19:14:36.372824,-107
19:14:36.372824,-26369
19:14:36.372824,-1
19:14:36.372824,-102
19:14:36.372824,-22785
19:14:36.372824,-1
19:14:36.372824,-85
19:14:36.372824,-22273
19:14:36.372824,-1
19:14:36.372824,-78
19:14:36.372824,-18433
19:14:36.372824,-1
19:14:36.372824,-71
19:14:36.372824,-16129
19:14:36.372824,-1
19:14:36.372824,-54
19:14:36.372824,-13569
19:14:36.372824,-1
19:14:36.372824,-49
19:14:36.372824,-9473
19:14:36.372824,-1
19:14:36.372824,-38
19:14:36.372824,-9985
19:14:36.372824,-1
19:14:36.372824,-45
19:14:36.372824,-11265
19:14:36.372824,-1
19:14:36.372824,-40
19:14:36.372824,-8705
19:14:36.372824,-1
19:14:36.372824,-23
19:14:36.372824,-769
19:14:36.372824,-1
19:14:36.372824,4
19:14:36.372824,-512
19:14:36.372824,-1
19:14:36.372824,-19
19:14:36.372824,-8705
19:14:36.372824,-1
19:14:36.372824,-38
19:14:36.372824,-9985
19:14:36.372824,-1
19:14:36.372824,-38
19:14:36.372824,-8193
19:14:36.372824,-1
19:14:36.372824,-35
19:14:36.958272,-38
19:14:36.958272,-8705
19:14:36.958272,-1
19:14:36.958272,-35
19:14:36.958272,-8705
19:14:36.958272,-1
19:14:36.958272,-35
19:14:36.958272,-10497
19:14:36.958272,-1
19:14:36.958272,14
19:14:36.958272,12288
19:14:36.958272,1
19:14:36.958272,895
19:14:36.958272,4352
19:14:36.958272,5
19:14:36.958272,790
19:14:36.958272,-25344
19:14:36.958272,-1
19:14:36.958272,-230
