timestamp,ecg,reconstructed_time
2025-11-07 18:00:42.004947,-85,2025-11-07 18:00:42.004947000
2025-11-07 18:00:42.004947,-20737,2025-11-07 18:00:42.012639308
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.020331615
2025-11-07 18:00:42.004947,-82,2025-11-07 18:00:42.028023923
2025-11-07 18:00:42.004947,-20737,2025-11-07 18:00:42.035716231
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.043408538
2025-11-07 18:00:42.004947,-78,2025-11-07 18:00:42.051100846
2025-11-07 18:00:42.004947,-14849,2025-11-07 18:00:42.058793154
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.066485462
2025-11-07 18:00:42.004947,-44,2025-11-07 18:00:42.074177769
2025-11-07 18:00:42.004947,-11009,2025-11-07 18:00:42.081870077
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.089562385
2025-11-07 18:00:42.004947,-47,2025-11-07 18:00:42.097254692
2025-11-07 18:00:42.004947,-9985,2025-11-07 18:00:42.104947000
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.112639308
2025-11-07 18:00:42.004947,-33,2025-11-07 18:00:42.120331615
2025-11-07 18:00:42.004947,-8193,2025-11-07 18:00:42.128023923
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.135716231
2025-11-07 18:00:42.004947,-26,2025-11-07 18:00:42.143408538
2025-11-07 18:00:42.004947,-4353,2025-11-07 18:00:42.151100846
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.158793154
2025-11-07 18:00:42.004947,-23,2025-11-07 18:00:42.166485462
2025-11-07 18:00:42.004947,-6913,2025-11-07 18:00:42.174177769
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.181870077
2025-11-07 18:00:42.004947,-21,2025-11-07 18:00:42.189562385
2025-11-07 18:00:42.004947,-4353,2025-11-07 18:00:42.197254692
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.204947000
2025-11-07 18:00:42.004947,-23,2025-11-07 18:00:42.212639308
2025-11-07 18:00:42.004947,-5633,2025-11-07 18:00:42.220331615
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.228023923
2025-11-07 18:00:42.004947,-26,2025-11-07 18:00:42.235716231
2025-11-07 18:00:42.004947,-6913,2025-11-07 18:00:42.243408538
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.251100846
2025-11-07 18:00:42.004947,-28,2025-11-07 18:00:42.258793154
2025-11-07 18:00:42.004947,-6401,2025-11-07 18:00:42.266485462
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.274177769
2025-11-07 18:00:42.004947,-23,2025-11-07 18:00:42.281870077
2025-11-07 18:00:42.004947,-5633,2025-11-07 18:00:42.289562385
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.297254692
2025-11-07 18:00:42.004947,-28,2025-11-07 18:00:42.304947000
2025-11-07 18:00:42.004947,-7425,2025-11-07 18:00:42.312639308
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.320331615
2025-11-07 18:00:42.004947,-28,2025-11-07 18:00:42.328023923
2025-11-07 18:00:42.004947,-6401,2025-11-07 18:00:42.335716231
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.343408538
2025-11-07 18:00:42.004947,-26,2025-11-07 18:00:42.351100846
2025-11-07 18:00:42.004947,-6401,2025-11-07 18:00:42.358793154
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.366485462
2025-11-07 18:00:42.004947,-26,2025-11-07 18:00:42.374177769
2025-11-07 18:00:42.004947,-6913,2025-11-07 18:00:42.381870077
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.389562385
2025-11-07 18:00:42.004947,-28,2025-11-07 18:00:42.397254692
2025-11-07 18:00:42.004947,-5121,2025-11-07 18:00:42.404947000
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.412639308
2025-11-07 18:00:42.004947,-23,2025-11-07 18:00:42.420331615
2025-11-07 18:00:42.004947,-6913,2025-11-07 18:00:42.428023923
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.435716231
2025-11-07 18:00:42.004947,-30,2025-11-07 18:00:42.443408538
2025-11-07 18:00:42.004947,-5121,2025-11-07 18:00:42.451100846
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.458793154
2025-11-07 18:00:42.004947,-18,2025-11-07 18:00:42.466485462
2025-11-07 18:00:42.004947,-7425,2025-11-07 18:00:42.474177769
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.481870077
2025-11-07 18:00:42.004947,-47,2025-11-07 18:00:42.489562385
2025-11-07 18:00:42.004947,-15361,2025-11-07 18:00:42.497254692
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.504947000
2025-11-07 18:00:42.004947,-75,2025-11-07 18:00:42.512639308
2025-11-07 18:00:42.004947,-18945,2025-11-07 18:00:42.520331615
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.528023923
2025-11-07 18:00:42.004947,-47,2025-11-07 18:00:42.535716230
2025-11-07 18:00:42.004947,255,2025-11-07 18:00:42.543408538
2025-11-07 18:00:42.004947,0,2025-11-07 18:00:42.551100846
2025-11-07 18:00:42.004947,21,2025-11-07 18:00:42.558793154
2025-11-07 18:00:42.004947,2304,2025-11-07 18:00:42.566485462
2025-11-07 18:00:42.004947,0,2025-11-07 18:00:42.574177769
2025-11-07 18:00:42.004947,-7,2025-11-07 18:00:42.581870077
2025-11-07 18:00:42.004947,-3841,2025-11-07 18:00:42.589562385
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.597254692
2025-11-07 18:00:42.004947,-14,2025-11-07 18:00:42.604947000
2025-11-07 18:00:42.004947,-769,2025-11-07 18:00:42.612639308
2025-11-07 18:00:42.004947,-1,2025-11-07 18:00:42.620331615
