timestamp,ecg
18:46:55.311263,-274
18:46:55.311263,-4353
18:46:55.311263,-2
18:46:55.311263,-276
18:46:55.311263,-4353
18:46:55.311263,-2
18:46:55.311263,-261
18:46:55.311263,-1
18:46:55.311263,-2
18:46:55.311263,-257
18:46:55.311263,-3073
18:46:55.311263,-2
18:46:55.311263,-274
18:46:55.311263,-1793
18:46:55.311263,-2
18:46:55.311263,-271
18:46:55.311263,-4865
18:46:55.311263,-2
18:46:55.311263,-288
18:46:55.311263,-11009
18:46:55.311263,-2
18:46:55.311263,-271
18:46:55.311263,9983
18:46:55.311263,-1
18:46:55.311263,-177
18:46:55.311263,16895
18:46:55.311263,-1
18:46:55.311263,-215
18:46:55.311263,13823
18:46:55.311263,-1
18:46:55.311263,-223
18:46:55.311263,1279
18:46:55.311263,-1
18:46:55.311263,-240
18:46:55.311263,3327
18:46:55.311263,-1
18:46:55.311263,-269
18:46:55.311263,-7425
18:46:55.311263,-2
18:46:55.311263,-300
18:46:55.311263,-12801
18:46:55.311263,-2
18:46:55.311263,-329
18:46:55.311263,-22273
18:46:55.311263,-2
18:46:55.311263,-356
18:46:55.311263,-32257
18:46:55.311263,-2
18:46:55.311263,-395
18:46:55.311263,28927
18:46:55.311263,-2
18:46:55.311263,-392
18:46:55.311263,-30977
18:46:55.311263,-2
18:46:55.311263,-373
18:46:55.311263,-27905
18:46:55.311263,-2
18:46:55.311263,-373
18:46:55.311263,31999
18:46:55.311263,-2
18:46:55.311263,-385
18:46:55.311263,27135
18:46:55.311263,-2
18:46:55.311263,-431
18:46:55.311263,16639
18:46:55.311263,-2
18:46:55.311263,-477
18:46:55.311263,7167
18:46:55.311263,-2
18:46:55.311263,-489
18:46:55.311263,2815
18:46:55.311263,-2
18:46:55.311263,-506
18:46:55.311263,-3329
18:46:55.311263,-3
18:46:55.311263,-540
18:46:55.311263,-7681
18:46:55.311263,-3
18:46:55.311263,-548
18:46:55.311263,-5121
18:46:55.311263,-3
18:46:55.311263,-526
18:46:55.311263,-3841
18:46:55.311263,-3
18:46:55.311263,-526
18:46:55.311263,-4609
18:46:55.311263,-3
18:46:55.311263,-516
18:46:55.311263,1023
18:46:55.311263,-2
18:46:55.311263,-509
18:46:55.311263,1023
18:46:55.311263,-2
18:46:55.311263,-540
18:46:55.311263,-13825
18:46:55.311263,-3
18:46:55.311263,-555
18:46:55.311263,-11265
18:46:55.311263,-3
18:46:55.311263,-574
18:46:55.311263,-15105
18:46:55.311263,-3
18:46:55.311263,-560
18:46:55.311263,-15617
18:46:55.311263,-3
18:46:55.311263,-579
18:46:55.311263,-7681
18:46:55.311263,-3
18:46:55.311263,-538
18:46:55.804269,-557
18:46:55.804269,-9473
18:46:55.804269,-3
18:46:55.804269,-538
18:46:55.804269,-2049
18:46:55.804269,-3
18:46:55.804269,-514
18:46:55.804269,-2561
18:46:55.804269,-3
18:46:55.804269,-518
18:46:55.804269,511
18:46:55.804269,-2
18:46:55.804269,-477
18:46:55.804269,18431
18:46:55.804269,-2
18:46:55.804269,-412
18:46:55.804269,-28417
18:46:55.804269,-2
18:46:55.804269,-363
18:46:55.804269,-28417
18:46:55.804269,-2
18:46:55.804269,-329
18:46:55.804269,-11777
18:46:55.804269,-2
18:46:55.804269,-281
18:46:55.804269,-5377
18:46:55.804269,-2
18:46:55.804269,-298
18:46:55.804269,-6145
18:46:55.804269,-2
18:46:55.804269,-264
18:46:55.804269,-1025
18:46:55.804269,-2
18:46:55.804269,-252
18:46:55.804269,2559
18:46:55.804269,-1
18:46:55.804269,-232
18:46:55.804269,8191
18:46:55.804269,-1
18:46:55.804269,-223
18:46:55.804269,13823
18:46:55.804269,-1
18:46:55.804269,-203
18:46:55.804269,13055
18:46:55.804269,-1
18:46:55.804269,-203
18:46:55.804269,12543
18:46:55.804269,-1
18:46:55.804269,-208
18:46:55.804269,7679
18:46:55.804269,-1
18:46:55.804269,-230
