timestamp,ecg
13:54:08.073008,-142
13:54:08.073008,30207
13:54:08.073008,-1
13:54:08.073008,-146
13:54:08.073008,23295
13:54:08.073008,-1
13:54:08.073008,-171
13:54:08.073008,27647
13:54:08.073008,-1
13:54:08.073008,-108
13:54:08.073008,-25601
13:54:08.073008,-1
13:54:08.073008,-125
13:54:08.073008,-28673
13:54:08.073008,-1
13:54:08.073008,-93
13:54:08.073008,-26113
13:54:08.073008,-1
13:54:08.073008,-108
13:54:08.073008,-29185
13:54:08.073008,-1
13:54:08.073008,-122
13:54:08.073008,-28673
13:54:08.073008,-1
13:54:08.073008,-105
13:54:08.073008,-28673
13:54:08.073008,-1
13:54:08.073008,-127
13:54:08.073008,-30465
13:54:08.073008,-1
13:54:08.073008,-103
13:54:08.073008,-25601
13:54:08.073008,-1
13:54:08.073008,-98
13:54:08.073008,-25601
13:54:08.073008,-1
13:54:08.073008,-105
13:54:08.073008,-26113
13:54:08.073008,-1
13:54:08.073008,-101
13:54:08.073008,-24321
13:54:08.073008,-1
13:54:08.073008,-89
13:54:08.073008,-20481
13:54:08.073008,-1
13:54:08.073008,-74
13:54:08.073008,-17409
13:54:08.073008,-1
13:54:08.073008,-57
13:54:08.073008,-10753
13:54:08.073008,-1
13:54:08.073008,-57
13:54:08.073008,-20481
13:54:08.073008,-1
13:54:08.073008,-79
13:54:08.073008,-14337
13:54:08.073008,-1
13:54:08.073008,-31
13:54:08.073008,-769
13:54:08.073008,-1
13:54:08.073008,16
13:54:08.073008,3584
13:54:08.073008,0
13:54:08.073008,-16
13:54:08.073008,-4609
13:54:08.073008,-1
13:54:08.073008,16
13:54:08.073008,4864
13:54:08.073008,0
13:54:08.073008,-2
13:54:08.073008,-4609
13:54:08.073008,-1
13:54:08.073008,-52
13:54:08.073008,11775
13:54:08.073008,0
13:54:08.073008,575
13:54:08.073008,-32512
13:54:08.073008,4
13:54:08.073008,790
13:54:08.073008,-22016
13:54:08.073008,-1
13:54:08.073008,-216
13:54:08.073008,3839
13:54:08.073008,0
13:54:08.073008,-105
13:54:08.073008,16639
13:54:08.073008,-1
13:54:08.073008,-101
13:54:08.073008,-27393
13:54:08.073008,-1
13:54:08.073008,-144
13:54:08.073008,-27393
13:54:08.073008,-1
13:54:08.073008,-93
13:54:08.073008,-27905
